,,,,,Distance moved,Velocity,Freezing,Freezing,Cruising,Cruising,Bursting,Bursting,Turn angle,Angular velocity,Meander,Meander
T1,Cocaine 0.1,Trial     7,D8,0:30:00-0:35:00,352.775,1.17623,64,294.64,83,3.64,16,0.76,112.205,2805.12,5426.41,40638400
T1,Cocaine 0.1,Trial     7,D8,0:35:00-0:40:00,272.923,0.910228,5,291.84,7,0.28,0,0,119.313,2982.82,5999.9,44795200
T1,Cocaine 0.1,Trial     7,D8,0:40:00-0:45:00,0.0420948,1.05237,0,0,0,0,0,0,163.73,4093.25,3889.55,3889.55
T1,Cocaine 0.1,Trial     7,E2,0:00:00-0:05:00,143.286,0.652485,8,218.92,10,0.48,6,0.28,120.618,3015.46,8396.35,43686200
T1,Cocaine 0.1,Trial     7,E2,0:05:00-0:10:00,197.437,0.658473,2,299.92,1,0.04,1,0.04,120.151,3003.79,7548.82,56525600
T1,Cocaine 0.1,Trial     7,E2,0:10:00-0:15:00,192.252,0.641183,4,299.8,3,0.12,0,0,120.17,3004.24,8238.23,61622000
T1,Cocaine 0.1,Trial     7,E2,0:15:00-0:20:00,540.113,1.80134,265,277.24,347,15.28,43,2.36,98.6969,2467.42,5093.08,38081000
T1,Cocaine 0.1,Trial     7,E2,0:20:00-0:25:00,202.091,0.673997,8,299.36,9,0.4,1,0.04,119.701,2992.51,7942.83,59380600
T1,Cocaine 0.1,Trial     7,E2,0:25:00-0:30:00,372.053,1.24117,87,217.32,146,6.72,19,1.12,111.431,2785.79,6342.68,47335400
T1,Cocaine 0.1,Trial     7,E2,0:30:00-0:35:00,220.755,0.736046,0,0,0,0,0,0,120.091,3002.28,7122.55,53226800
T1,Cocaine 0.1,Trial     7,E2,0:35:00-0:40:00,205.466,0.685252,0,0,0,0,0,0,119.218,2980.46,7389.17,55108500
T1,Cocaine 0.1,Trial     7,E2,0:40:00-0:45:00,0.00723803,0.180951,0,0,0,0,0,0,68.0263,1700.66,9398.44,9398.44
T1,Cocaine 0.1,Trial     7,E8,0:00:00-0:05:00,723.973,2.60123,404,265.92,507,22.44,112,5.68,86.6585,2166.46,4218.56,29078500
T1,Cocaine 0.1,Trial     7,E8,0:05:00-0:10:00,518.724,1.73,275,278.56,337,14.2,65,2.84,100.63,2515.75,6334.98,47005600
T1,Cocaine 0.1,Trial     7,E8,0:10:00-0:15:00,227.111,0.757442,1,300,0,0,0,0,120.467,3011.68,7150.08,53296700
T1,Cocaine 0.1,Trial     7,E8,0:15:00-0:20:00,848.448,2.82967,386,258.04,577,27.16,124,7.36,87.053,2176.33,4505.58,33634200
T1,Cocaine 0.1,Trial     7,E8,0:20:00-0:25:00,203.704,0.679375,12,299.16,14,0.6,3,0.16,119.541,2988.53,7839.39,58293700
T1,Cocaine 0.1,Trial     7,E8,0:25:00-0:30:00,621.246,2.07248,252,273.32,377,17.28,79,4.44,100.923,2523.06,5739.95,42843000
T1,Cocaine 0.1,Trial     7,E8,0:30:00-0:35:00,558.506,1.86218,253,275.88,366,16.24,54,2.88,99.4901,2487.25,5343.05,39917900
T1,Cocaine 0.1,Trial     7,E8,0:35:00-0:40:00,200.907,0.670049,8,218.28,10,0.44,2,0.08,118.612,2965.29,8012.17,59490400
T1,Cocaine 0.1,Trial     7,E8,0:40:00-0:45:00,0.00262125,0.0655312,0,0,0,0,0,0,80.0589,2001.47,30542.3,30542.3
T1,Cocaine 0.1,Trial     7,F2,0:00:00-0:05:00,298.415,1.19903,75,284.8,102,4.96,33,1.8,110.015,2750.39,6643.63,41017700
T1,Cocaine 0.1,Trial     7,F2,0:05:00-0:10:00,338.819,1.13,83,292.64,101,4.92,24,1.6,112.325,2808.11,6703.1,49918000
T1,Cocaine 0.1,Trial     7,F2,0:10:00-0:15:00,549.107,1.83133,254,278.6,319,14.84,65,3.56,101.521,2538.01,5616.18,41964100
T1,Cocaine 0.1,Trial     7,F2,0:15:00-0:20:00,676.254,2.25538,335,267.12,471,21.16,73,3.56,95.6361,2390.9,5000.48,37303600
T1,Cocaine 0.1,Trial     7,F2,0:20:00-0:25:00,240.123,0.800838,27,297.56,37,1.64,5,0.32,117.264,2931.6,7300.42,54329700
T1,Cocaine 0.1,Trial     7,F2,0:25:00-0:30:00,568.4,1.89618,219,277.44,304,14.72,66,3.72,102.099,2552.48,5599.59,41666500
T1,Cocaine 0.1,Trial     7,F2,0:30:00-0:35:00,273.638,0.912368,31,297.52,40,1.8,3,0.28,116.147,2903.68,6426.7,48091000
T1,Cocaine 0.1,Trial     7,F2,0:35:00-0:40:00,263.863,0.880013,9,166.4,12,0.64,2,0.2,119.092,2977.29,6535.2,48700300
T1,Cocaine 0.1,Trial     7,F2,0:40:00-0:45:00,0.009301,0.232525,0,0,0,0,0,0,157.19,3929.75,16900.3,16900.3
T1,Cocaine 0.1,Trial     7,G2,0:00:00-0:05:00,359.158,1.31252,138,287.96,169,8.32,45,2.24,109.863,2746.57,6653.48,44611600
T1,Cocaine 0.1,Trial     7,G2,0:05:00-0:10:00,931.002,3.105,437,259.52,532,27.2,191,10.72,90.3768,2259.42,4625.35,34569800
T1,Cocaine 0.1,Trial     7,G2,0:10:00-0:15:00,207.165,0.691105,9,299.28,9,0.44,4,0.24,120.108,3002.69,7265.67,53213800
T1,Cocaine 0.1,Trial     7,G2,0:15:00-0:20:00,676.609,2.25657,294,270.84,383,19.24,93,6.04,103.147,2578.69,5581.25,41714300
T1,Cocaine 0.1,Trial     7,G2,0:20:00-0:25:00,523.056,1.74445,181,282.76,227,11.92,71,4.52,107.856,2696.41,6489.88,48284700
T1,Cocaine 0.1,Trial     7,G2,0:25:00-0:30:00,696.1,2.32219,304,268.48,430,20.68,110,6.12,102.786,2569.64,5734.52,42722200
T1,Cocaine 0.1,Trial     7,G2,0:30:00-0:35:00,699.478,2.33221,340,268.6,438,20.76,111,5.96,99.5872,2489.68,5246.83,39277800
T1,Cocaine 0.1,Trial     7,G2,0:35:00-0:40:00,231.074,0.770659,30,221.28,42,1.96,11,0.52,118.306,2957.65,7682.93,57360800
T1,Cocaine 0.1,Trial     7,G2,0:40:00-0:45:00,0.031762,0.79405,0,0,0,0,0,0,158.895,3972.36,5002.66,5002.66
T1,Cocaine 0.1,Trial     7,G8,0:00:00-0:05:00,177.038,0.81479,7,217.04,7,0.28,1,0.04,117.42,2935.51,6477.58,35011300
T1,Cocaine 0.1,Trial     7,G8,0:05:00-0:10:00,260.717,0.869521,27,297.56,37,1.6,3,0.2,117.771,2944.28,6778.58,50378400
T1,Cocaine 0.1,Trial     7,G8,0:10:00-0:15:00,635.133,2.11824,245,275.04,339,16.56,88,5.12,99.8039,2495.1,5060.72,37666900
T1,Cocaine 0.1,Trial     7,G8,0:15:00-0:20:00,712.77,2.37717,356,267.28,483,21.72,90,4.92,94.6838,2367.09,4526.43,33694800
T1,Cocaine 0.1,Trial     7,G8,0:20:00-0:25:00,297.219,0.991259,12,298.64,17,0.92,8,0.44,118.514,2962.84,5488.12,40749300
T1,Cocaine 0.1,Trial     7,G8,0:25:00-0:30:00,1151.42,3.84113,543,243.08,767,37.6,213,12.12,74.3658,1859.15,2585.83,19295500
T1,Cocaine 0.1,Trial     7,G8,0:30:00-0:35:00,914.438,3.04894,469,254.2,653,29.68,119,6,79.5721,1989.3,2834.62,21228500
T1,Cocaine 0.1,Trial     7,G8,0:35:00-0:40:00,651.909,2.17419,234,265.88,342,16.4,94,5.04,98.8071,2470.18,4887.38,36577100
T1,Cocaine 0.1,Trial     7,G8,0:40:00-0:45:00,0.027425,0.685626,0,0,0,0,0,0,145.124,3628.1,5291.66,5291.66
T1,Cocaine 0.1,Trial     7,H8,0:00:00-0:05:00,884.646,2.95315,526,258.04,620,28.2,135,6.88,73.9409,1848.52,3148.78,23190800
T1,Cocaine 0.1,Trial     7,H8,0:05:00-0:10:00,699.806,2.33393,385,269.12,464,19.92,66,3,85.9876,2149.69,3300.65,24636100
T1,Cocaine 0.1,Trial     7,H8,0:10:00-0:15:00,207.039,0.690499,1,300,0,0,0,0,120.021,3000.53,7857.38,58592500
T1,Cocaine 0.1,Trial     7,H8,0:15:00-0:20:00,653.79,2.18046,328,272.16,409,18.72,88,4.64,96.7538,2418.84,4683.43,34919600
T1,Cocaine 0.1,Trial     7,H8,0:20:00-0:25:00,221.437,0.738519,1,300,0,0,0,0,118.793,2969.83,6717.03,50102300
T1,Cocaine 0.1,Trial     7,H8,0:25:00-0:30:00,543.608,1.81348,230,167.8,307,14.16,53,2.84,98.533,2463.32,4985.64,37187900
T1,Cocaine 0.1,Trial     7,H8,0:30:00-0:35:00,228.088,0.760496,0,0,0,0,0,0,120.943,3023.58,6838.47,51110800
T1,Cocaine 0.1,Trial     7,H8,0:35:00-0:40:00,234.841,0.783222,0,0,0,0,0,0,119.696,2992.4,6305.24,46986600
T1,Cocaine 0.1,Trial     7,H8,0:40:00-0:45:00,0.0399404,0.99851,0,0,0,0,0,0,171.007,4275.18,4281.56,4281.56
T1,Cocaine 0.3,Trial     7,A9,0:00:00-0:05:00,263.777,1.04557,46,247.08,71,3.2,10,0.56,115.094,2877.35,6641.58,41629400
T1,Cocaine 0.3,Trial     7,A9,0:05:00-0:10:00,252.462,0.84199,12,299.08,13,0.52,0,0,118.094,2952.36,6344.92,47460000
T1,Cocaine 0.3,Trial     7,A9,0:10:00-0:15:00,274.435,0.915272,21,298.08,27,1.32,7,0.32,117.535,2938.37,6270.39,46902600
T1,Cocaine 0.3,Trial     7,A9,0:15:00-0:20:00,529.335,1.76539,242,277.72,335,14.32,31,1.6,102.518,2562.96,4924.48,36721800
T1,Cocaine 0.3,Trial     7,A9,0:20:00-0:25:00,277.772,0.9264,19,298.44,22,1.08,6,0.36,116.12,2902.99,6236.24,46597200
T1,Cocaine 0.3,Trial     7,A9,0:25:00-0:30:00,444.255,1.48204,113,289.16,145,7.32,48,2.84,111.374,2784.36,5835.29,43472900
T1,Cocaine 0.3,Trial     7,A9,0:30:00-0:35:00,449.142,1.49754,82,292.4,89,5.28,65,3.72,110.734,2768.36,5421.05,40468100
T1,Cocaine 0.3,Trial     7,A9,0:35:00-0:40:00,229.942,0.766882,1,28.28,1,0.04,0,0,119.155,2978.88,6822.98,50722000
T1,Cocaine 0.3,Trial     7,A9,0:40:00-0:45:00,0.0153802,0.384504,0,0,0,0,0,0,167.471,4186.78,10888.8,10888.8
T1,Cocaine 0.3,Trial     7,B9,0:00:00-0:05:00,663.463,2.23689,370,269.56,462,20.56,73,3.96,90.112,2252.8,4694.85,34652700
T1,Cocaine 0.3,Trial     7,B9,0:05:00-0:10:00,648.526,2.16291,410,271.28,454,20.4,82,4.4,94.2973,2357.43,4706.66,35177600
T1,Cocaine 0.3,Trial     7,B9,0:10:00-0:15:00,211.434,0.705156,14,298.96,15,0.72,5,0.24,119.245,2981.12,7741.09,57415600
T1,Cocaine 0.3,Trial     7,B9,0:15:00-0:20:00,530.687,1.7699,289,276.6,350,15.2,51,2.32,104.023,2600.58,5759.1,42859300
T1,Cocaine 0.3,Trial     7,B9,0:20:00-0:25:00,236.132,0.787525,14,298.88,14,0.84,8,0.48,119.783,2994.57,7224.86,54013100
T1,Cocaine 0.3,Trial     7,B9,0:25:00-0:30:00,316.653,1.05636,81,293.2,101,4.48,16,0.68,114.529,2863.22,6299.39,46961900
T1,Cocaine 0.3,Trial     7,B9,0:30:00-0:35:00,293.331,0.978031,42,296.12,59,2.64,13,0.8,115.439,2885.97,6749.58,50412600
T1,Cocaine 0.3,Trial     7,B9,0:35:00-0:40:00,241.374,0.80501,21,295.76,26,1.08,1,0.08,112.978,2824.44,7226.95,54043100
T1,Cocaine 0.3,Trial     7,B9,0:40:00-0:45:00,0.0428433,1.07108,0,0,0,0,0,0,126.908,3172.71,2962.16,2962.16
T1,Cocaine 0.3,Trial     7,C3,0:00:00-0:05:00,8.75596,0.760066,2,11.56,1,0.04,0,0,115.473,2886.82,8082.76,2222760
T1,Cocaine 0.3,Trial     7,C3,0:05:00-0:10:00,183.847,0.613149,6,299.72,5,0.2,0,0,119.727,2993.17,8425.98,62268000
T1,Cocaine 0.3,Trial     7,C3,0:10:00-0:15:00,275.94,0.92029,35,296.84,45,2.16,17,0.8,117.021,2925.53,6769.38,50418400
T1,Cocaine 0.3,Trial     7,C3,0:15:00-0:20:00,907.283,3.02589,539,252.64,689,30.72,105,5.64,81.6368,2040.92,3312.42,24760300
T1,Cocaine 0.3,Trial     7,C3,0:20:00-0:25:00,325.359,1.08511,13,297.88,22,1.52,11,0.84,118.978,2974.46,6382.21,47764500
T1,Cocaine 0.3,Trial     7,C3,0:25:00-0:30:00,761.17,2.53927,355,266.56,466,22.16,100,6.28,87.9841,2199.6,4356.99,32590300
T1,Cocaine 0.3,Trial     7,C3,0:30:00-0:35:00,669.583,2.23254,394,270.04,469,19.84,61,2.96,78.117,1952.93,3490.58,26140900
T1,Cocaine 0.3,Trial     7,C3,0:35:00-0:40:00,321.701,1.07291,63,203.96,71,3.32,20,1.08,112.344,2808.61,6526.65,48871600
T1,Cocaine 0.3,Trial     7,C3,0:40:00-0:45:00,0.0150628,0.37657,0,0,0,0,0,0,64.7569,1618.92,4299.13,4299.13
T1,Cocaine 0.3,Trial     7,D3,0:00:00-0:05:00,324.731,1.15761,47,276.64,56,2.68,21,1.12,115.337,2883.43,5528.58,38672400
T1,Cocaine 0.3,Trial     7,D3,0:05:00-0:10:00,228.064,0.760619,1,300,0,0,0,0,120.07,3001.75,6328.47,47349600
T1,Cocaine 0.3,Trial     7,D3,0:10:00-0:15:00,228.189,0.761035,1,300,0,0,0,0,119.559,2988.99,6364.91,47647700
T1,Cocaine 0.3,Trial     7,D3,0:15:00-0:20:00,866.331,2.88931,442,258.24,596,27.52,120,6.36,83.8322,2095.8,3403.44,25437300
T1,Cocaine 0.3,Trial     7,D3,0:20:00-0:25:00,360.618,1.2027,64,293.36,94,4.32,26,1.36,114.388,2859.7,5777.89,43137700
T1,Cocaine 0.3,Trial     7,D3,0:25:00-0:30:00,981.799,3.28273,505,254.56,638,30.28,178,9.68,78.9296,1973.24,3328.57,24784500
T1,Cocaine 0.3,Trial     7,D3,0:30:00-0:35:00,967.957,3.22738,487,254.68,633,30.36,174,9.2,74.4941,1862.35,3236.93,24234900
T1,Cocaine 0.3,Trial     7,D3,0:35:00-0:40:00,897.675,2.99385,429,212.76,541,25.6,145,7.96,76.4467,1911.17,3027.04,22648300
T1,Cocaine 0.3,Trial     7,D3,0:40:00-0:45:00,0.0534555,1.33639,0,0,0,0,0,0,177.972,4449.3,3329.35,3329.35
T1,Cocaine 0.3,Trial     7,D9,0:00:00-0:05:00,160.8,0.536786,1,299.76,0,0,0,0,119.388,2984.69,7910.99,51555900
T1,Cocaine 0.3,Trial     7,D9,0:05:00-0:10:00,252.988,0.843743,1,300,0,0,0,0,124.447,3111.18,6163.86,38807600
T1,Cocaine 0.3,Trial     7,D9,0:10:00-0:15:00,267.279,0.891406,1,300,0,0,0,0,120.899,3022.48,6073.66,40481000
T1,Cocaine 0.3,Trial     7,D9,0:15:00-0:20:00,936.093,3.12198,485,251.12,701,32.08,90,5.72,78.6428,1966.07,3028.6,22653900
T1,Cocaine 0.3,Trial     7,D9,0:20:00-0:25:00,276.633,0.922602,15,298.92,18,0.8,1,0.08,116.021,2900.53,6202.19,46392400
T1,Cocaine 0.3,Trial     7,D9,0:25:00-0:30:00,660.087,2.20205,238,274.64,337,16.68,75,5.08,96.2042,2405.1,4706.67,35149400
T1,Cocaine 0.3,Trial     7,D9,0:30:00-0:35:00,204.327,0.68127,1,1.68,1,0.04,0,0,119.191,2979.78,6850.04,51258800
T1,Cocaine 0.3,Trial     7,D9,0:35:00-0:40:00,174.079,0.580571,0,0,0,0,0,0,119.843,2996.07,7834.13,58364300
T1,Cocaine 0.3,Trial     7,D9,0:40:00-0:45:00,0.0280683,0.701706,0,0,0,0,0,0,176.711,4417.77,6295.74,6295.74
T1,Cocaine 0.3,Trial     7,E3,0:00:00-0:05:00,365.636,1.2931,97,274.28,122,5.92,32,1.68,107.951,2698.76,6099.22,42780000
T1,Cocaine 0.3,Trial     7,E3,0:05:00-0:10:00,266.56,0.889008,47,296.8,51,2.12,4,0.16,116.28,2907,6471.79,48033600
T1,Cocaine 0.3,Trial     7,E3,0:10:00-0:15:00,433.004,1.44412,156,288.4,177,7.88,30,1.68,105.147,2628.67,5198.42,38639900
